25.Q2.5																				
																				
PmEvent Name	Event Parameter Name	GPB Field Number	PmEventHeader/Payload	Parameter Description	Parameter Type	MANDATORY	DeprecatedSince	ReasonForDeprecation	UNIT	UsedSubrange	SupportedBands	SupportedDeployments	License	LimitationReason	EventParameterStatus	Filters	Filter Description	Filter DeprecatedSince	Filter ReasonForDeprecation	Filter Status
CuCpF1UeContextReleaseComplete	trace_reference	7	PmEventHeader	Globally unique trace reference as defined in 3GPP TS 32.422.	bytes	Y							N/A		USED					
CuCpF1UeContextReleaseComplete	trace_recording_session_reference	8	PmEventHeader	Unique session ID for UE as defined in 3GPP TS 32.422.	bytes	Y							N/A		USED					
CuCpF1UeContextReleaseComplete	main_plmn_id	1	Payload	"Main PLMN identifier.

Encoded as an octet string of size 3, following apply:
- Digits 0 to 9, encoded 0000 to 1001.

In each octet, two digits are encoded:
- Bits 4 to 1 of octet n encode digit 2n-1.
- Bits 8 to 5 of octet n encode digit 2n.
- 1111 is used as filler digit.

PLMN identity consists of three digits from MCC succeeded by one of following variations:
- In case of a two-digit MNC, one filler digit plus two digits from MNC.
- In case of a three-digit MNC, three digits from MNC.
"	bytes	Y					Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A	Not verified for NR SA	USED					
CuCpF1UeContextReleaseComplete	gnb_id	2	Payload	The gNodeB identifier.	int64	Y					Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A	Not verified for NR SA	USED					
CuCpF1UeContextReleaseComplete	asn1	3	Payload	ASN.1-encoded UE CONTEXT RELEASE COMPLETE message.	Asn1Message	Y					Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A	Not verified for NR SA	USED					
CuCpF1UeContextReleaseComplete	nci	4	Payload	NR cell identity. See 3GPP TS 38.300.	int64	Y					Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A	Not verified for NR SA	USED					
CuCpF1UeContextReleaseComplete	gnb_id_length	5	Payload	Length of gNodeB ID bit string representation.	int64	Y					Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A	Not verified for NR SA	USED					
CuCpF1UeContextReleaseComplete	global_gnb_id	6	Payload	"Global gNodeB identifier. Consists of gNodeB identifier and PLMN identifier.

PLMN identifier encoded as an octet string of size 3, following apply:
- Digits 0 to 9, encoded 0000 to 1001.

In each octet, two digits are encoded:
- Bits 4 to 1 of octet n encode digit 2n-1.
- Bits 8 to 5 of octet n encode digit 2n.
- 1111 is used as filler digit.

PLMN identity consists of three digits from MCC succeeded by one of following variations:
- In case of a two-digit MNC, one filler digit plus two digits from MNC.
- In case of a three-digit MNC, three digits from MNC.
"	GlobalGnbId	Y					Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A	Not verified for NR SA	USED					
CuCpF1UeContextReleaseComplete	gnb_du_id	7	Payload	The gNodeB Distributed Unit identifier.	int64	Y					Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A	Not verified for NR SA	USED					
CuCpF1UeContextReleaseComplete	serving_plmn_id	8	Payload	"PLMN identifier.

Encoded as an octet string of size 3, following apply:
- Digits 0 to 9, encoded 0000 to 1001.

In each octet, two digits are encoded:
- Bits 4 to 1 of octet n encode digit 2n-1.
- Bits 8 to 5 of octet n encode digit 2n.
- 1111 is used as filler digit.

PLMN identity consists of three digits from MCC succeeded by one of following variations:
- In case of a two-digit MNC, one filler digit plus two digits from MNC.
- In case of a three-digit MNC, three digits from MNC.
"	bytes	Y					Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A		USED					
CuCpF1UeContextReleaseRequest	time_stamp	1	PmEventHeader	Milliseconds since epoch.	int64	Y							N/A		USED					
CuCpF1UeContextReleaseRequest	system_uuid	2	PmEventHeader	System Universally Unique Identifier.	bytes	Y							N/A		USED					
CuCpF1UeContextReleaseRequest	compute_name	3	PmEventHeader	Compute name associated with compute resource in ME.	string	Y							N/A		USED					
CuCpF1UeContextReleaseRequest	network_managed_element	4	PmEventHeader	Network identity of ME.	string	Y							N/A		USED					
CuCpF1UeContextReleaseRequest	pm_event_job_ids	5	PmEventHeader	Jobs subscribing to event.	repeated <int64>	Y							N/A		USED					
CuCpF1UeContextReleaseRequest	trace_reference	7	PmEventHeader	Globally unique trace reference as defined in 3GPP TS 32.422.	bytes	Y							N/A		USED					
CuCpF1UeContextReleaseRequest	trace_recording_session_reference	8	PmEventHeader	Unique session ID for UE as defined in 3GPP TS 32.422.	bytes	Y							N/A		USED					
CuCpF1UeContextReleaseRequest	main_plmn_id	1	Payload	"Main PLMN identifier.

Encoded as an octet string of size 3, following apply:
- Digits 0 to 9, encoded 0000 to 1001.

In each octet, two digits are encoded:
- Bits 4 to 1 of octet n encode digit 2n-1.
- Bits 8 to 5 of octet n encode digit 2n.
- 1111 is used as filler digit.

PLMN identity consists of three digits from MCC succeeded by one of following variations:
- In case of a two-digit MNC, one filler digit plus two digits from MNC.
- In case of a three-digit MNC, three digits from MNC.
"	bytes	Y					Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A	Not verified for NR SA	USED					
CuCpF1UeContextReleaseRequest	gnb_id	2	Payload	The gNodeB identifier.	int64	Y					Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A	Not verified for NR SA	USED					
CuCpF1UeContextReleaseRequest	asn1	3	Payload	ASN.1-encoded UE CONTEXT RELEASE REQUEST message.	Asn1Message	Y					Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A	Not verified for NR SA	USED					
CuCpF1UeContextReleaseRequest	nci	4	Payload	NR cell identity. See 3GPP TS 38.300.	int64	Y					Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A	Not verified for NR SA	USED					
CuCpF1UeContextReleaseRequest	gnb_id_length	5	Payload	Length of gNodeB ID bit string representation.	int64	Y					Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A	Not verified for NR SA	USED					
CuCpF1UeContextReleaseRequest	global_gnb_id	6	Payload	"Global gNodeB identifier. Consists of gNodeB identifier and PLMN identifier.

PLMN identifier encoded as an octet string of size 3, following apply:
- Digits 0 to 9, encoded 0000 to 1001.

In each octet, two digits are encoded:
- Bits 4 to 1 of octet n encode digit 2n-1.
- Bits 8 to 5 of octet n encode digit 2n.
- 1111 is used as filler digit.

PLMN identity consists of three digits from MCC succeeded by one of following variations:
- In case of a two-digit MNC, one filler digit plus two digits from MNC.
- In case of a three-digit MNC, three digits from MNC.
"	GlobalGnbId	Y					Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A	Not verified for NR SA	USED					
CuCpF1UeContextReleaseRequest	gnb_du_id	7	Payload	The gNodeB Distributed Unit identifier.	int64	Y					Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A	Not verified for NR SA	USED					
CuCpF1UeContextReleaseRequest	serving_plmn_id	8	Payload	"PLMN identifier.

Encoded as an octet string of size 3, following apply:
- Digits 0 to 9, encoded 0000 to 1001.

In each octet, two digits are encoded:
- Bits 4 to 1 of octet n encode digit 2n-1.
- Bits 8 to 5 of octet n encode digit 2n.
- 1111 is used as filler digit.

PLMN identity consists of three digits from MCC succeeded by one of following variations:
- In case of a two-digit MNC, one filler digit plus two digits from MNC.
- In case of a three-digit MNC, three digits from MNC.
"	bytes	Y					Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A		USED					
CuCpF1UeContextSetupFailure	time_stamp	1	PmEventHeader	Milliseconds since epoch.	int64	Y							N/A		USED					
CuCpF1UeContextSetupFailure	system_uuid	2	PmEventHeader	System Universally Unique Identifier.	bytes	Y							N/A		USED					
CuCpF1UeContextSetupFailure	compute_name	3	PmEventHeader	Compute name associated with compute resource in ME.	string	Y							N/A		USED					
CuCpF1UeContextSetupFailure	network_managed_element	4	PmEventHeader	Network identity of ME.	string	Y							N/A		USED					
CuCpF1UeContextSetupFailure	pm_event_job_ids	5	PmEventHeader	Jobs subscribing to event.	repeated <int64>	Y							N/A		USED					
CuCpF1UeContextSetupFailure	trace_reference	7	PmEventHeader	Globally unique trace reference as defined in 3GPP TS 32.422.	bytes	Y							N/A		USED					
CuCpF1UeContextSetupFailure	trace_recording_session_reference	8	PmEventHeader	Unique session ID for UE as defined in 3GPP TS 32.422.	bytes	Y							N/A		USED					
CuCpF1UeContextSetupFailure	main_plmn_id	1	Payload	"Main PLMN identifier.

Encoded as an octet string of size 3, following apply:
- Digits 0 to 9, encoded 0000 to 1001.

In each octet, two digits are encoded:
- Bits 4 to 1 of octet n encode digit 2n-1.
- Bits 8 to 5 of octet n encode digit 2n.
- 1111 is used as filler digit.

PLMN identity consists of three digits from MCC succeeded by one of following variations:
- In case of a two-digit MNC, one filler digit plus two digits from MNC.
- In case of a three-digit MNC, three digits from MNC.
"	bytes	Y					Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A	Not verified for NR SA	USED					
CuCpF1UeContextSetupFailure	gnb_id	2	Payload	The gNodeB identifier.	int64	Y					Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A	Not verified for NR SA	USED					
CuCpF1UeContextSetupFailure	gnb_id_length	3	Payload	Length of gNodeB ID bit string representation.	int64	Y					Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A	Not verified for NR SA	USED					
CuCpF1UeContextSetupFailure	asn1	4	Payload	ASN.1-encoded UE CONTEXT SETUP FAILURE message.	Asn1Message	Y					Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A	Not verified for NR SA	USED					
CuCpF1UeContextSetupFailure	nci	5	Payload	NR cell identity. See 3GPP TS 38.300.	int64	Y					Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A	Not verified for NR SA	USED					
CuCpF1UeContextSetupFailure	global_gnb_id	6	Payload	"Global gNodeB identifier. Consists of gNodeB identifier and PLMN identifier.

PLMN identifier encoded as an octet string of size 3, following apply:
- Digits 0 to 9, encoded 0000 to 1001.

In each octet, two digits are encoded:
- Bits 4 to 1 of octet n encode digit 2n-1.
- Bits 8 to 5 of octet n encode digit 2n.
- 1111 is used as filler digit.

PLMN identity consists of three digits from MCC succeeded by one of following variations:
- In case of a two-digit MNC, one filler digit plus two digits from MNC.
- In case of a three-digit MNC, three digits from MNC.
"	GlobalGnbId	Y					Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A	Not verified for NR SA	USED					
CuCpF1UeContextSetupFailure	gnb_du_id	7	Payload	The gNodeB Distributed Unit identifier.	int64	N					Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A	Not verified for NR SA	USED					
CuCpF1UeContextSetupFailure	serving_plmn_id	8	Payload	"PLMN identifier.

Encoded as an octet string of size 3, following apply:
- Digits 0 to 9, encoded 0000 to 1001.

In each octet, two digits are encoded:
- Bits 4 to 1 of octet n encode digit 2n-1.
- Bits 8 to 5 of octet n encode digit 2n.
- 1111 is used as filler digit.

PLMN identity consists of three digits from MCC succeeded by one of following variations:
- In case of a two-digit MNC, one filler digit plus two digits from MNC.
- In case of a three-digit MNC, three digits from MNC.
"	bytes	Y					Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A		USED					
CuCpF1UeContextSetupRequest	time_stamp	1	PmEventHeader	Milliseconds since epoch.	int64	Y							N/A		USED					
CuCpF1UeContextSetupRequest	system_uuid	2	PmEventHeader	System Universally Unique Identifier.	bytes	Y							N/A		USED					
CuCpF1UeContextSetupRequest	compute_name	3	PmEventHeader	Compute name associated with compute resource in ME.	string	Y							N/A		USED					
CuCpF1UeContextSetupRequest	network_managed_element	4	PmEventHeader	Network identity of ME.	string	Y							N/A		USED					
CuCpF1UeContextSetupRequest	pm_event_job_ids	5	PmEventHeader	Jobs subscribing to event.	repeated <int64>	Y							N/A		USED					
CuCpF1UeContextSetupRequest	trace_reference	7	PmEventHeader	Globally unique trace reference as defined in 3GPP TS 32.422.	bytes	Y							N/A		USED					
CuCpF1UeContextSetupRequest	trace_recording_session_reference	8	PmEventHeader	Unique session ID for UE as defined in 3GPP TS 32.422.	bytes	Y							N/A		USED					
CuCpF1UeContextSetupRequest	main_plmn_id	1	Payload	"Main PLMN identifier.

Encoded as an octet string of size 3, following apply:
- Digits 0 to 9, encoded 0000 to 1001.

In each octet, two digits are encoded:
- Bits 4 to 1 of octet n encode digit 2n-1.
- Bits 8 to 5 of octet n encode digit 2n.
- 1111 is used as filler digit.

PLMN identity consists of three digits from MCC succeeded by one of following variations:
- In case of a two-digit MNC, one filler digit plus two digits from MNC.
- In case of a three-digit MNC, three digits from MNC.
"	bytes	Y					Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A	Not verified for NR SA	USED					
CuCpF1UeContextSetupRequest	gnb_id	2	Payload	The gNodeB identifier.	int64	Y					Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A	Not verified for NR SA	USED					
CuCpF1UeContextSetupRequest	gnb_id_length	3	Payload	Length of gNodeB ID bit string representation.	int64	Y					Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A	Not verified for NR SA	USED					
CuCpF1UeContextSetupRequest	asn1	4	Payload	ASN.1-encoded UE CONTEXT SETUP REQUEST message.	Asn1Message	Y					Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A	Not verified for NR SA	USED					
CuCpF1UeContextSetupRequest	nci	5	Payload	NR cell identity. See 3GPP TS 38.300.	int64	Y					Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A	Not verified for NR SA	USED					
CuCpF1UeContextSetupRequest	global_gnb_id	6	Payload	"Global gNodeB identifier. Consists of gNodeB identifier and PLMN identifier.

PLMN identifier encoded as an octet string of size 3, following apply:
- Digits 0 to 9, encoded 0000 to 1001.

In each octet, two digits are encoded:
- Bits 4 to 1 of octet n encode digit 2n-1.
- Bits 8 to 5 of octet n encode digit 2n.
- 1111 is used as filler digit.

PLMN identity consists of three digits from MCC succeeded by one of following variations:
- In case of a two-digit MNC, one filler digit plus two digits from MNC.
- In case of a three-digit MNC, three digits from MNC.
"	GlobalGnbId	Y					Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A	Not verified for NR SA	USED					
CuCpF1UeContextSetupRequest	gnb_du_id	7	Payload	The gNodeB Distributed Unit identifier.	int64	N					Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A	Not verified for NR SA	USED					
CuCpF1UeContextSetupRequest	serving_plmn_id	8	Payload	"PLMN identifier.

Encoded as an octet string of size 3, following apply:
- Digits 0 to 9, encoded 0000 to 1001.

In each octet, two digits are encoded:
- Bits 4 to 1 of octet n encode digit 2n-1.
- Bits 8 to 5 of octet n encode digit 2n.
- 1111 is used as filler digit.

PLMN identity consists of three digits from MCC succeeded by one of following variations:
- In case of a two-digit MNC, one filler digit plus two digits from MNC.
- In case of a three-digit MNC, three digits from MNC.
"	bytes	Y					Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A		USED					
CuCpF1UeContextSetupResponse	time_stamp	1	PmEventHeader	Milliseconds since epoch.	int64	Y							N/A		USED					
CuCpF1UeContextSetupResponse	system_uuid	2	PmEventHeader	System Universally Unique Identifier.	bytes	Y							N/A		USED					
CuCpF1UeContextSetupResponse	compute_name	3	PmEventHeader	Compute name associated with compute resource in ME.	string	Y							N/A		USED					
CuCpF1UeContextSetupResponse	network_managed_element	4	PmEventHeader	Network identity of ME.	string	Y							N/A		USED					
CuCpF1UeContextSetupResponse	pm_event_job_ids	5	PmEventHeader	Jobs subscribing to event.	repeated <int64>	Y							N/A		USED					
CuCpF1UeContextSetupResponse	trace_reference	7	PmEventHeader	Globally unique trace reference as defined in 3GPP TS 32.422.	bytes	Y							N/A		USED					
CuCpF1UeContextSetupResponse	trace_recording_session_reference	8	PmEventHeader	Unique session ID for UE as defined in 3GPP TS 32.422.	bytes	Y							N/A		USED					
CuCpF1UeContextSetupResponse	main_plmn_id	1	Payload	"Main PLMN identifier.

Encoded as an octet string of size 3, following apply:
- Digits 0 to 9, encoded 0000 to 1001.

In each octet, two digits are encoded:
- Bits 4 to 1 of octet n encode digit 2n-1.
- Bits 8 to 5 of octet n encode digit 2n.
- 1111 is used as filler digit.

PLMN identity consists of three digits from MCC succeeded by one of following variations:
- In case of a two-digit MNC, one filler digit plus two digits from MNC.
- In case of a three-digit MNC, three digits from MNC.
"	bytes	Y					Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A	Not verified for NR SA	USED					
CuCpF1UeContextSetupResponse	gnb_id	2	Payload	The gNodeB identifier.	int64	Y					Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A	Not verified for NR SA	USED					
CuCpF1UeContextSetupResponse	gnb_id_length	3	Payload	Length of gNodeB ID bit string representation.	int64	Y					Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A	Not verified for NR SA	USED					
CuCpF1UeContextSetupResponse	asn1	4	Payload	ASN.1-encoded UE CONTEXT SETUP RESPONSE message.	Asn1Message	Y					Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A	Not verified for NR SA	USED					
CuCpF1UeContextSetupResponse	nci	5	Payload	NR cell identity. See 3GPP TS 38.300.	int64	Y					Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A	Not verified for NR SA	USED					
CuCpF1UeContextSetupResponse	global_gnb_id	6	Payload	"Global gNodeB identifier. Consists of gNodeB identifier and PLMN identifier.

PLMN identifier encoded as an octet string of size 3, following apply:
- Digits 0 to 9, encoded 0000 to 1001.

In each octet, two digits are encoded:
- Bits 4 to 1 of octet n encode digit 2n-1.
- Bits 8 to 5 of octet n encode digit 2n.
- 1111 is used as filler digit.

PLMN identity consists of three digits from MCC succeeded by one of following variations:
- In case of a two-digit MNC, one filler digit plus two digits from MNC.
- In case of a three-digit MNC, three digits from MNC.
"	GlobalGnbId	Y					Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A	Not verified for NR SA	USED					
CuCpF1UeContextSetupResponse	gnb_du_id	7	Payload	The gNodeB Distributed Unit identifier.	int64	N					Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A	Not verified for NR SA	USED					
CuCpF1UeContextSetupResponse	serving_plmn_id	8	Payload	"PLMN identifier.

Encoded as an octet string of size 3, following apply:
- Digits 0 to 9, encoded 0000 to 1001.

In each octet, two digits are encoded:
- Bits 4 to 1 of octet n encode digit 2n-1.
- Bits 8 to 5 of octet n encode digit 2n.
- 1111 is used as filler digit.

PLMN identity consists of three digits from MCC succeeded by one of following variations:
- In case of a two-digit MNC, one filler digit plus two digits from MNC.
- In case of a three-digit MNC, three digits from MNC.
"	bytes	Y					Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A		USED					
CuCpF1WriteReplaceWarningRequest	time_stamp	1	PmEventHeader	Milliseconds since epoch.	int64	Y							N/A		USED					
CuCpF1WriteReplaceWarningRequest	system_uuid	2	PmEventHeader	System Universally Unique Identifier.	bytes	Y							N/A		USED					
CuCpF1WriteReplaceWarningRequest	compute_name	3	PmEventHeader	Compute name associated with compute resource in ME.	string	Y							N/A		USED					
CuCpF1WriteReplaceWarningRequest	network_managed_element	4	PmEventHeader	Network identity of ME.	string	Y							N/A		USED					
CuCpF1WriteReplaceWarningRequest	pm_event_job_ids	5	PmEventHeader	Jobs subscribing to event.	repeated <int64>	Y							N/A		USED					
CuCpF1WriteReplaceWarningRequest	main_plmn_id	1	Payload	"Main PLMN identifier.

Encoded as an octet string of size 3, following apply:
- Digits 0 to 9, encoded 0000 to 1001.

In each octet, two digits are encoded:
- Bits 4 to 1 of octet n encode digit 2n-1.
- Bits 8 to 5 of octet n encode digit 2n.
- 1111 is used as filler digit.

PLMN identity consists of three digits from MCC succeeded by one of following variations:
- In case of a two-digit MNC, one filler digit plus two digits from MNC.
- In case of a three-digit MNC, three digits from MNC.
"	bytes	Y					Low-band, Mid-band	NR SA, CR NR SA	N/A		USED					
CuCpF1WriteReplaceWarningRequest	gnb_id	2	Payload	The gNodeB identifier.	int64	Y					Low-band, Mid-band	NR SA, CR NR SA	N/A		USED					
CuCpF1WriteReplaceWarningRequest	gnb_id_length	3	Payload	Length of gNodeB ID bit string representation.	int64	Y					Low-band, Mid-band	NR SA, CR NR SA	N/A		USED					
CuCpF1WriteReplaceWarningRequest	asn1	4	Payload	ASN.1-encoded FIAP WRITE-REPLACE WARNING REQUEST message.	Asn1Message	Y					Low-band, Mid-band	NR SA, CR NR SA	N/A		USED					
CuCpF1WriteReplaceWarningResponse	time_stamp	1	PmEventHeader	Milliseconds since epoch.	int64	Y							N/A		USED					
CuCpF1WriteReplaceWarningResponse	system_uuid	2	PmEventHeader	System Universally Unique Identifier.	bytes	Y							N/A		USED					
CuCpF1WriteReplaceWarningResponse	compute_name	3	PmEventHeader	Compute name associated with compute resource in ME.	string	Y							N/A		USED					
CuCpF1WriteReplaceWarningResponse	network_managed_element	4	PmEventHeader	Network identity of ME.	string	Y							N/A		USED					
CuCpF1WriteReplaceWarningResponse	pm_event_job_ids	5	PmEventHeader	Jobs subscribing to event.	repeated <int64>	Y							N/A		USED					
CuCpF1WriteReplaceWarningResponse	main_plmn_id	1	Payload	"Main PLMN identifier.

Encoded as an octet string of size 3, following apply:
- Digits 0 to 9, encoded 0000 to 1001.

In each octet, two digits are encoded:
- Bits 4 to 1 of octet n encode digit 2n-1.
- Bits 8 to 5 of octet n encode digit 2n.
- 1111 is used as filler digit.

PLMN identity consists of three digits from MCC succeeded by one of following variations:
- In case of a two-digit MNC, one filler digit plus two digits from MNC.
- In case of a three-digit MNC, three digits from MNC.
"	bytes	Y					Low-band, Mid-band	NR SA, CR NR SA	N/A		USED					
CuCpF1WriteReplaceWarningResponse	gnb_id	2	Payload	The gNodeB identifier.	int64	Y					Low-band, Mid-band	NR SA, CR NR SA	N/A		USED					
CuCpF1WriteReplaceWarningResponse	gnb_id_length	3	Payload	Length of gNodeB ID bit string representation.	int64	Y					Low-band, Mid-band	NR SA, CR NR SA	N/A		USED					
CuCpF1WriteReplaceWarningResponse	asn1	4	Payload	ASN.1-encoded FIAP WRITE-REPLACE WARNING RESPONSE message.	Asn1Message	Y					Low-band, Mid-band	NR SA, CR NR SA	N/A		USED					
CuCpNgAmfConfigurationUpdate	time_stamp	1	PmEventHeader	Milliseconds since epoch.	int64	Y							N/A		USED					
CuCpNgAmfConfigurationUpdate	system_uuid	2	PmEventHeader	System Universally Unique Identifier.	bytes	Y							N/A		USED					
CuCpNgAmfConfigurationUpdate	compute_name	3	PmEventHeader	Compute name associated with compute resource in ME.	string	Y							N/A		USED					
CuCpNgAmfConfigurationUpdate	network_managed_element	4	PmEventHeader	Network identity of ME.	string	Y							N/A		USED					
CuCpNgAmfConfigurationUpdate	pm_event_job_ids	5	PmEventHeader	Jobs subscribing to event.	repeated <int64>	Y							N/A		USED					
CuCpNgAmfConfigurationUpdate	main_plmn_id	1	Payload	"Main PLMN identifier.

Encoded as an octet string of size 3, following apply:
- Digits 0 to 9, encoded 0000 to 1001.

In each octet, two digits are encoded:
- Bits 4 to 1 of octet n encode digit 2n-1.
- Bits 8 to 5 of octet n encode digit 2n.
- 1111 is used as filler digit.

PLMN identity consists of three digits from MCC succeeded by one of following variations:
- In case of a two-digit MNC, one filler digit plus two digits from MNC.
- In case of a three-digit MNC, three digits from MNC.
"	bytes	Y					Low-band, Mid-band, High-band	NR SA	N/A		USED					
CuCpNgAmfConfigurationUpdate	gnb_id	2	Payload	The gNodeB identifier.	int64	Y					Low-band, Mid-band, High-band	NR SA	N/A		USED					
CuCpNgAmfConfigurationUpdate	asn1	3	Payload	ASN.1-encoded AMF CONFIGURATION UPDATE message.	Asn1Message	Y					Low-band, Mid-band, High-band	NR SA	N/A		USED					
CuCpNgAmfConfigurationUpdate	gnb_id_length	4	Payload	Length of gNodeB ID bit string representation.	int64	Y					Low-band, Mid-band, High-band	NR SA	N/A		USED					
CuCpNgAmfConfigurationUpdateAcknowledge	time_stamp	1	PmEventHeader	Milliseconds since epoch.	int64	Y							N/A		USED					
CuCpNgAmfConfigurationUpdateAcknowledge	system_uuid	2	PmEventHeader	System Universally Unique Identifier.	bytes	Y							N/A		USED					
CuCpNgAmfConfigurationUpdateAcknowledge	compute_name	3	PmEventHeader	Compute name associated with compute resource in ME.	string	Y							N/A		USED					
CuCpNgAmfConfigurationUpdateAcknowledge	network_managed_element	4	PmEventHeader	Network identity of ME.	string	Y							N/A		USED					
CuCpNgAmfConfigurationUpdateAcknowledge	pm_event_job_ids	5	PmEventHeader	Jobs subscribing to event.	repeated <int64>	Y							N/A		USED					
CuCpNgAmfConfigurationUpdateAcknowledge	main_plmn_id	1	Payload	"Main PLMN identifier.

Encoded as an octet string of size 3, following apply:
- Digits 0 to 9, encoded 0000 to 1001.

In each octet, two digits are encoded:
- Bits 4 to 1 of octet n encode digit 2n-1.
- Bits 8 to 5 of octet n encode digit 2n.
- 1111 is used as filler digit.

PLMN identity consists of three digits from MCC succeeded by one of following variations:
- In case of a two-digit MNC, one filler digit plus two digits from MNC.
- In case of a three-digit MNC, three digits from MNC.
"	bytes	Y					Low-band, Mid-band, High-band	NR SA	N/A		USED					
CuCpNgAmfConfigurationUpdateAcknowledge	gnb_id	2	Payload	The gNodeB identifier.	int64	Y					Low-band, Mid-band, High-band	NR SA	N/A		USED					
CuCpNgAmfConfigurationUpdateAcknowledge	asn1	3	Payload	ASN.1-encoded AMF CONFIGURATION UPDATE ACKNOWLEDGE message.	Asn1Message	Y					Low-band, Mid-band, High-band	NR SA	N/A		USED					
CuCpNgAmfConfigurationUpdateAcknowledge	gnb_id_length	4	Payload	Length of gNodeB ID bit string representation.	int64	Y					Low-band, Mid-band, High-band	NR SA	N/A		USED					
CuCpNgAmfConfigurationUpdateFailure	time_stamp	1	PmEventHeader	Milliseconds since epoch.	int64	Y							N/A		USED					
CuCpNgAmfConfigurationUpdateFailure	system_uuid	2	PmEventHeader	System Universally Unique Identifier.	bytes	Y							N/A		USED					
CuCpNgAmfConfigurationUpdateFailure	compute_name	3	PmEventHeader	Compute name associated with compute resource in ME.	string	Y							N/A		USED					
CuCpNgAmfConfigurationUpdateFailure	network_managed_element	4	PmEventHeader	Network identity of ME.	string	Y							N/A		USED					
CuCpNgAmfConfigurationUpdateFailure	pm_event_job_ids	5	PmEventHeader	Jobs subscribing to event.	repeated <int64>	Y							N/A		USED					
CuCpNgAmfConfigurationUpdateFailure	main_plmn_id	1	Payload	"Main PLMN identifier.

Encoded as an octet string of size 3, following apply:
- Digits 0 to 9, encoded 0000 to 1001.

In each octet, two digits are encoded:
- Bits 4 to 1 of octet n encode digit 2n-1.
- Bits 8 to 5 of octet n encode digit 2n.
- 1111 is used as filler digit.

PLMN identity consists of three digits from MCC succeeded by one of following variations:
- In case of a two-digit MNC, one filler digit plus two digits from MNC.
- In case of a three-digit MNC, three digits from MNC.
"	bytes	Y					Low-band, Mid-band, High-band	NR SA	N/A		USED					
